platform,vflows,configuration,resource,used,available,utilization_percent,exceeds_capacity
quartus,32,static,logic_alms,1385,487200,0.28427750410509034,False
quartus,32,dynamic,logic_alms,3565,487200,0.7317323481116584,False
quartus,32,replay,logic_alms,3136,487200,0.6436781609195402,False
vivado,32,static,logic_luts,3309,216960,1.5251659292035398,False
vivado,32,static,registers,2036,433920,0.46921091445427726,False
vivado,32,static,bram36_tiles,30,480,6.25,False
vivado,32,static,uram288_blocks,0,64,0.0,False
vivado,32,static,dsp_blocks,0,1824,0.0,False
vivado,32,dynamic,logic_luts,3853,216960,1.7759033923303835,False
vivado,32,dynamic,registers,2355,433920,0.5427267699115044,False
vivado,32,dynamic,bram36_tiles,60,480,12.5,False
vivado,32,dynamic,uram288_blocks,0,64,0.0,False
vivado,32,dynamic,dsp_blocks,0,1824,0.0,False
vivado,32,replay,logic_luts,4011,216960,1.8487278761061947,False
vivado,32,replay,registers,2125,433920,0.48972160766961653,False
vivado,32,replay,bram36_tiles,51.5,480,10.729166666666666,False
vivado,32,replay,uram288_blocks,0,64,0.0,False
vivado,32,replay,dsp_blocks,0,1824,0.0,False
quartus,128,static,logic_alms,4068,487200,0.8349753694581281,False
quartus,128,dynamic,logic_alms,9593,487200,1.9690065681444993,False
quartus,128,replay,logic_alms,10251,487200,2.104064039408867,False
vivado,128,static,logic_luts,7362,216960,3.3932522123893807,False
vivado,128,static,registers,6107,433920,1.4074022861356932,False
vivado,128,static,bram36_tiles,500,480,104.16666666666667,True
vivado,128,static,uram288_blocks,0,64,0.0,False
vivado,128,static,dsp_blocks,0,1824,0.0,False
vivado,128,dynamic,logic_luts,14035,216960,6.468934365781711,False
vivado,128,dynamic,registers,8707,433920,2.006591076696165,False
vivado,128,dynamic,bram36_tiles,1040,480,216.66666666666666,True
vivado,128,dynamic,uram288_blocks,0,64,0.0,False
vivado,128,dynamic,dsp_blocks,0,1824,0.0,False
vivado,128,replay,logic_luts,13567,216960,6.253226401179941,False
vivado,128,replay,registers,7837,433920,1.8060932890855457,False
vivado,128,replay,bram36_tiles,694,480,144.58333333333334,True
vivado,128,replay,uram288_blocks,0,64,0.0,False
vivado,128,replay,dsp_blocks,0,1824,0.0,False
quartus,1024,static,logic_alms,249166,487200,51.14244663382594,False
vivado,1024,static,logic_luts,219107,216960,100.98958333333333,True
vivado,1024,static,registers,84909,433920,19.567892699115045,False
vivado,1024,static,bram36_tiles,35850,480,7468.75,True
vivado,1024,static,uram288_blocks,0,64,0.0,False
vivado,1024,static,dsp_blocks,0,1824,0.0,False
vivado,1024,dynamic,logic_luts,345710,216960,159.3427359882006,True
vivado,1024,dynamic,registers,76037,433920,17.523276179941004,False
vivado,1024,dynamic,bram36_tiles,81937.5,480,17070.3125,True
vivado,1024,dynamic,uram288_blocks,0,64,0.0,False
vivado,1024,dynamic,dsp_blocks,0,1824,0.0,False
vivado,1024,replay,logic_luts,308796,216960,142.32853982300884,True
vivado,1024,replay,registers,73815,433920,17.011200221238937,False
vivado,1024,replay,bram36_tiles,51230.5,480,10673.020833333334,True
vivado,1024,replay,uram288_blocks,0,64,0.0,False
vivado,1024,replay,dsp_blocks,0,1824,0.0,False
