platform,vflows,configuration,resource,component,value,source
vivado,32,replay,uram288_blocks,engine_cam,0,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,uram288_blocks,replay_log,0,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,uram288_blocks,other,0,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,post_mapper,737280,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,pre_mapper,0,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,engine_cam,737280,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,replay_log,423936,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,other,0,runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
quartus,128,static,block_memory_bits,post_mapper,6553600,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
quartus,128,static,block_memory_bits,pre_mapper,4480,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
quartus,128,static,block_memory_bits,engine_cam,5242880,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
quartus,128,static,block_memory_bits,replay_log,0,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
quartus,128,static,block_memory_bits,other,12132,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json
quartus,128,dynamic,block_memory_bits,post_mapper,26214400,runs/rio-only-pe5-v128-c1024-dynamic-quartus/resource-summary.json
quartus,128,dynamic,block_memory_bits,pre_mapper,17920,runs/rio-only-pe5-v128-c1024-dynamic-quartus/resource-summary.json
quartus,128,dynamic,block_memory_bits,engine_cam,5242880,runs/rio-only-pe5-v128-c1024-dynamic-quartus/resource-summary.json
quartus,128,dynamic,block_memory_bits,replay_log,0,runs/rio-only-pe5-v128-c1024-dynamic-quartus/resource-summary.json
quartus,128,dynamic,block_memory_bits,other,12132,runs/rio-only-pe5-v128-c1024-dynamic-quartus/resource-summary.json
quartus,128,replay,block_memory_bits,post_mapper,13107200,runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json
quartus,128,replay,block_memory_bits,pre_mapper,8960,runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json
quartus,128,replay,block_memory_bits,engine_cam,5242880,runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json
quartus,128,replay,block_memory_bits,replay_log,507904,runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json
quartus,128,replay,block_memory_bits,other,12132,runs/rio-replay-pe5-v128-c1024-j16384-quartus/resource-summary.json
vivado,128,static,bram36_tiles,post_mapper,180,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,bram36_tiles,pre_mapper,0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,bram36_tiles,engine_cam,320,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,bram36_tiles,replay_log,0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,bram36_tiles,other,0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,uram288_blocks,post_mapper,0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,uram288_blocks,pre_mapper,0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,uram288_blocks,engine_cam,0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,uram288_blocks,replay_log,0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,uram288_blocks,other,0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,bram_uram_allocated_bits,post_mapper,6635520,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,bram_uram_allocated_bits,pre_mapper,0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,bram_uram_allocated_bits,engine_cam,11796480,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,bram_uram_allocated_bits,replay_log,0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,bram_uram_allocated_bits,other,0,runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,dynamic,bram36_tiles,post_mapper,720,runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
