cycle,event,engine_id,vpifo_id,tokens,buffered_packets,ingress_packets
5000,driver_stop,1,1,337,343,3
5014,hardware_stop,1,1,337,341,4
5047,stop_snapshot,1,1,337,352,15
5047,copy_source,3,2,337,352,15
5386,copy_source,1,1,337,441,104
5777,prefill_started,1,1,337,545,208
6115,prefill_finished,1,1,337,636,299
6115,root_detached,1,1,337,636,299
6115,root_published,1,1,337,636,299
6115,drain_watch_armed,2,1,337,636,299
6115,driver_resume,1,1,337,636,299
6116,hardware_resume,1,1,337,636,298
7155,root_detached,1,1,566,571,0
7155,root_published,2,2,568,571,0
7170,clear_engine,1,0,566,570,0
