figure,request,tenants,flows,run,main_install_instructions,guarded_instructions,cycles_to_publication,cycles_to_main_ready,cycles_to_completion,request_start_cycle,configuration_finish_cycle,main_bank_replay_cycles,total_bank_replay_cycles,main_mapper_write_instructions,guard_drain_instructions,global_stop_cycles,hardware_stop_cycles,peak_stop_buffer_packets,pre_t1_backlog_packets,pre_t1_waiting_at_input,pre_t1_utilization,measured_pre_t1_offered_load,measured_post_t1_offered_load,untouched_flow,peak_added_delay_cycles,completed_packets,drops,reorderings,trace_sha256,peak_stop_buffer_packets_from_csv
add,add,2,4,rio,21,0,32,44,44,2000,2044,12,12,12,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,0,3668,0,0,00ffef9c015472d302bd502614d47be830ab0e072b5b4dceef1fd044801ba807,0
add,add,2,4,prefill,99,57,217,280,524,2000,2524,63,89,61,7,217,200,150,75,1,0.9885,1.101,1.10025,Tenant_02_A,221,3668,0,0,00ffef9c015472d302bd502614d47be830ab0e072b5b4dceef1fd044801ba807,150
add,add,2,4,reset,64,1,86,122,1046,2000,3046,36,37,35,0,1041,0,452,75,1,0.9885,1.101,1.10025,Tenant_02_A,1037,3668,0,0,00ffef9c015472d302bd502614d47be830ab0e072b5b4dceef1fd044801ba807,452
add,add,2,4,control-p2,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,0,3668,0,0,00ffef9c015472d302bd502614d47be830ab0e072b5b4dceef1fd044801ba807,0
add,add,4,8,rio,21,0,32,44,44,2000,2044,12,12,12,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,-3,3668,0,0,3ec4c9e6ba94aac25dfb91374fc514031d5b8609354cffa8a085967029e04fb3,0
add,add,4,8,prefill,165,99,283,390,649,2000,2649,107,152,105,13,283,266,174,75,1,0.9885,1.101,1.10025,Tenant_02_A,284,3668,0,0,3ec4c9e6ba94aac25dfb91374fc514031d5b8609354cffa8a085967029e04fb3,174
add,add,4,8,reset,106,1,128,188,1046,2000,3046,60,61,59,0,1041,0,453,75,1,0.9885,1.101,1.10025,Tenant_02_A,1046,3668,0,0,3ec4c9e6ba94aac25dfb91374fc514031d5b8609354cffa8a085967029e04fb3,453
add,add,4,8,control-p2,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,0,3668,0,0,3ec4c9e6ba94aac25dfb91374fc514031d5b8609354cffa8a085967029e04fb3,0
add,add,8,16,rio,21,0,32,44,44,2000,2044,12,12,12,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,-3,3668,0,0,f03b9bede5b9c1492701f7aa21d6ed08abfa4d869b753a85e670f7bc7cac8a73,0
add,add,8,16,prefill,299,183,416,611,905,2000,2905,195,281,193,25,416,400,223,75,1,0.9885,1.101,1.10025,Tenant_02_A,417,3668,0,0,f03b9bede5b9c1492701f7aa21d6ed08abfa4d869b753a85e670f7bc7cac8a73,223
add,add,8,16,reset,192,1,213,321,1047,2000,3047,108,109,107,0,1042,0,453,75,1,0.9885,1.101,1.10025,Tenant_02_A,1026,3668,0,0,f03b9bede5b9c1492701f7aa21d6ed08abfa4d869b753a85e670f7bc7cac8a73,453
add,add,8,16,control-p2,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,0,3668,0,0,f03b9bede5b9c1492701f7aa21d6ed08abfa4d869b753a85e670f7bc7cac8a73,0
add,add,16,32,rio,21,0,33,45,45,2000,2045,12,12,12,0,0,0,0,75,1,0.9885,1.101,1.099875,Tenant_02_A,15,3667,0,0,cf1d42b02abbad5ebd1c3c0f4e702674d28ffe1fb1240c0e2c7bde9d2a1ab839,0
add,add,16,32,prefill,565,351,683,1054,1577,2000,3577,371,536,369,49,683,666,321,75,1,0.9885,1.101,1.099875,Tenant_02_A,699,3667,0,0,cf1d42b02abbad5ebd1c3c0f4e702674d28ffe1fb1240c0e2c7bde9d2a1ab839,321
add,add,16,32,reset,362,1,384,588,1047,2000,3047,204,205,203,0,1042,0,453,75,1,0.9885,1.101,1.099875,Tenant_02_A,1047,3667,0,0,cf1d42b02abbad5ebd1c3c0f4e702674d28ffe1fb1240c0e2c7bde9d2a1ab839,453
add,add,16,32,control-p2,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,75,1,0.9885,1.101,1.099875,Tenant_02_A,0,3667,0,0,cf1d42b02abbad5ebd1c3c0f4e702674d28ffe1fb1240c0e2c7bde9d2a1ab839,0
add,add,32,64,rio,21,0,33,45,45,2000,2045,12,12,12,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,24,3668,0,0,e1d7c64fc614d744ca0aa3f99800ca3af646405cd268b46253f1e8a99d600bf2,0
add,add,32,64,prefill,1099,687,1217,1940,2959,2000,4959,723,1048,721,97,1217,1200,517,75,1,0.9885,1.101,1.10025,Tenant_02_A,1242,3668,0,0,e1d7c64fc614d744ca0aa3f99800ca3af646405cd268b46253f1e8a99d600bf2,517
add,add,32,64,reset,704,1,726,1122,1206,2000,3206,396,397,395,0,1201,0,511,75,1,0.9885,1.101,1.10025,Tenant_02_A,1221,3668,0,0,e1d7c64fc614d744ca0aa3f99800ca3af646405cd268b46253f1e8a99d600bf2,511
add,add,32,64,control-p2,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,75,1,0.9885,1.101,1.10025,Tenant_02_A,0,3668,0,0,e1d7c64fc614d744ca0aa3f99800ca3af646405cd268b46253f1e8a99d600bf2,0
