window_start_cycle,window_end_cycle,time_relative_to_start,total_bytes_per_cycle,total_link_fraction,flow_1_bytes_per_cycle,flow_2_bytes_per_cycle,flow_1_link_fraction,flow_2_link_fraction
-16,48,-224,8,0.125,8,0,0.125,0
48,112,-160,24,0.375,8,16,0.125,0.25
112,176,-96,16,0.25,8,8,0.125,0.125
176,240,-32,16,0.25,8,8,0.125,0.125
240,304,32,24,0.375,16,8,0.25,0.125
304,368,96,16,0.25,8,8,0.125,0.125
368,432,160,16,0.25,8,8,0.125,0.125
432,496,224,24,0.375,8,16,0.125,0.25
496,560,288,16,0.25,8,8,0.125,0.125
560,624,352,16,0.25,8,8,0.125,0.125
624,688,416,24,0.375,16,8,0.25,0.125
688,752,480,16,0.25,8,8,0.125,0.125
752,816,544,24,0.375,8,16,0.125,0.25
816,880,608,16,0.25,8,8,0.125,0.125
880,944,672,16,0.25,8,8,0.125,0.125
944,1008,736,24,0.375,16,8,0.25,0.125
1008,1072,800,16,0.25,8,8,0.125,0.125
1072,1136,864,16,0.25,8,8,0.125,0.125
1136,1200,928,24,0.375,8,16,0.125,0.25
1200,1264,992,16,0.25,8,8,0.125,0.125
1264,1328,1056,16,0.25,8,8,0.125,0.125
1328,1392,1120,24,0.375,16,8,0.25,0.125
1392,1456,1184,16,0.25,8,8,0.125,0.125
1456,1520,1248,16,0.25,8,8,0.125,0.125
1520,1584,1312,16,0.25,16,0,0.25,0
1584,1648,1376,16,0.25,16,0,0.25,0
1648,1712,1440,24,0.375,24,0,0.375,0
1712,1776,1504,16,0.25,16,0,0.25,0
1776,1840,1568,16,0.25,16,0,0.25,0
1840,1904,1632,16,0.25,16,0,0.25,0
1904,1968,1696,16,0.25,16,0,0.25,0
1968,2032,1760,16,0.25,16,0,0.25,0
2032,2096,1824,16,0.25,16,0,0.25,0
2096,2160,1888,16,0.25,16,0,0.25,0
2160,2224,1952,16,0.25,16,0,0.25,0
2224,2288,2016,16,0.25,16,0,0.25,0
2288,2352,2080,16,0.25,16,0,0.25,0
2352,2416,2144,16,0.25,16,0,0.25,0
2416,2480,2208,16,0.25,16,0,0.25,0
2480,2544,2272,16,0.25,8,8,0.125,0.125
2544,2608,2336,16,0.25,0,16,0,0.25
2608,2672,2400,16,0.25,0,16,0,0.25
2672,2736,2464,24,0.375,0,24,0,0.375
2736,2800,2528,16,0.25,0,16,0,0.25
2800,2864,2592,16,0.25,0,16,0,0.25
2864,2928,2656,16,0.25,0,16,0,0.25
2928,2992,2720,16,0.25,0,16,0,0.25
2992,3056,2784,16,0.25,0,16,0,0.25
3056,3120,2848,16,0.25,0,16,0,0.25
3120,3184,2912,16,0.25,0,16,0,0.25
3184,3248,2976,16,0.25,0,16,0,0.25
3248,3312,3040,16,0.25,0,16,0,0.25
3312,3376,3104,16,0.25,0,16,0,0.25
3376,3440,3168,16,0.25,0,16,0,0.25
3440,3504,3232,16,0.25,0,16,0,0.25
3504,3568,3296,8,0.125,0,8,0,0.125
