platform,vflows,configuration,resource,unit,value,source
quartus,32,static,logic_alms,ALMs,1385,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,logic_aluts,ALUTs,1800,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,registers,bits,1303,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,block_memory_bits,bits,659532,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,mlab_memory_bits,bits,0,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,static,dsp_blocks,blocks,0,runs/rio-only-pe5-v32-c1024-static-quartus/resource-summary.json
quartus,32,replay,logic_alms,ALMs,3136,../replay-sweep/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
quartus,32,replay,logic_aluts,ALUTs,3856,../replay-sweep/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
quartus,32,replay,registers,bits,2885,../replay-sweep/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
quartus,32,replay,block_memory_bits,bits,1397612,../replay-sweep/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
quartus,32,replay,mlab_memory_bits,bits,0,../replay-sweep/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
quartus,32,replay,dsp_blocks,blocks,0,../replay-sweep/runs/rio-replay-pe5-v32-c1024-j16384-quartus/resource-summary.json
vivado,32,static,logic_luts,LUTs,3309,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,registers,bits,2036,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,bram36_tiles,tiles,30.0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,uram288_blocks,blocks,0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,bram_uram_allocated_bits,bits,1105920,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,lutram_luts,LUTs,532,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,static,dsp_blocks,blocks,0,runs/rio-only-pe5-v32-c1024-static-vivado/resource-summary.json
vivado,32,replay,logic_luts,LUTs,4011,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,registers,bits,2125,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram36_tiles,tiles,51.5,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,uram288_blocks,blocks,0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,bram_uram_allocated_bits,bits,1898496,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,lutram_luts,LUTs,552,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
vivado,32,replay,dsp_blocks,blocks,0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json
quartus,64,static,logic_alms,ALMs,2077,runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json
quartus,64,static,logic_aluts,ALUTs,2341,runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json
quartus,64,static,registers,bits,1401,runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json
quartus,64,static,block_memory_bits,bits,2793512,runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json
quartus,64,static,mlab_memory_bits,bits,0,runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json
quartus,64,static,dsp_blocks,blocks,0,runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json
quartus,64,replay,logic_alms,ALMs,4950,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-quartus/resource-summary.json
quartus,64,replay,logic_aluts,ALUTs,6101,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-quartus/resource-summary.json
quartus,64,replay,registers,bits,4753,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-quartus/resource-summary.json
quartus,64,replay,block_memory_bits,bits,4728744,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-quartus/resource-summary.json
quartus,64,replay,mlab_memory_bits,bits,0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-quartus/resource-summary.json
quartus,64,replay,dsp_blocks,blocks,0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-quartus/resource-summary.json
vivado,64,static,logic_luts,LUTs,3684,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,registers,bits,2886,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,bram36_tiles,tiles,120.0,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,uram288_blocks,blocks,0,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,bram_uram_allocated_bits,bits,4423680,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,lutram_luts,LUTs,612,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,static,dsp_blocks,blocks,0,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json
vivado,64,replay,logic_luts,LUTs,5739,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-vivado/resource-summary.json
vivado,64,replay,registers,bits,3918,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-vivado/resource-summary.json
vivado,64,replay,bram36_tiles,tiles,172.5,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-vivado/resource-summary.json
