platform,vflows,resource,unit,static_rio,replay_rio,pifo_one,pifo_count,pifo_total,static,replay,absolute_change,percent_change,percent_denominator,measurement_kind
vivado,128,logic_luts,LUTs,7362,13567,104800.0,5,524000.0,531362.0,537567.0,6205,1.1677538100202876,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,128,registers,bits,6107,7837,25676.0,5,128380.0,134487.0,136217.0,1730,1.2863696862893812,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,128,bram36_tiles,tiles,500.0,694.0,0.0,5,0.0,500.0,694.0,194.0,38.8,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,128,uram288_blocks,blocks,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,128,bram_uram_allocated_bits,bits,18432000,25583616,0.0,5,0.0,18432000.0,25583616.0,7151616,38.8,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,128,lutram_luts,LUTs,832,912,0.0,5,0.0,832.0,912.0,80,9.615384615384615,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,128,dsp_blocks,blocks,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,256,logic_alms,ALMs,10528,29507,54851.0,5,274255.0,284783.0,303762.0,18979,6.664372522236229,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,256,logic_aluts,ALUTs,12722,32520,86621.0,5,433105.0,445827.0,465625.0,19798,4.440735980548509,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,256,registers,bits,1597,17129,27697.0,5,138485.0,140082.0,155614.0,15532,11.087791436444368,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,256,block_memory_bits,bits,49841312,79244448,0.0,5,0.0,49841312.0,79244448.0,29403136,58.99350322078199,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,256,mlab_memory_bits,bits,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,256,dsp_blocks,blocks,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,256,logic_luts,LUTs,26859,30999,109618.0,5,548090.0,574949.0,579089.0,4140,0.7200638665342491,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,256,registers,bits,17826,16348,27731.0,5,138655.0,156481.0,155003.0,-1478,-0.9445236162856833,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,256,bram36_tiles,tiles,2082.5,2898.0,0.0,5,0.0,2082.5,2898.0,815.5,39.15966386554622,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,256,uram288_blocks,blocks,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,256,bram_uram_allocated_bits,bits,76769280,106831872,0.0,5,0.0,76769280.0,106831872.0,30062592,39.15966386554622,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,256,lutram_luts,LUTs,942,1142,0.0,5,0.0,942.0,1142.0,200,21.231422505307854,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
vivado,256,dsp_blocks,blocks,0,0,0.0,5,0.0,0.0,0.0,0,,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,512,logic_alms,ALMs,87531,137289,55630.0,5,278150.0,365681.0,415439.0,49758,13.606941569291267,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
quartus,512,logic_aluts,ALUTs,80970,149744,94283.0,5,471415.0,552385.0,621159.0,68774,12.45037428605049,ordinary_RIO_plus_five_PIFOs,sum_of_synthesized_components
