platform,vflows,configuration,resource,unit,rio_only,pifo_one,pifo_count,pifo_total,value,source,pifo_source,measurement_kind
vivado,32,replay,bram36_tiles,tiles,51.5,0.0,5,0.0,51.5,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,uram288_blocks,blocks,0,0.0,5,0.0,0.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,bram_uram_allocated_bits,bits,1898496,0.0,5,0.0,1898496.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,lutram_luts,LUTs,552,0.0,5,0.0,552.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-vivado/resource-summary.json,sum_of_synthesized_components
vivado,32,replay,dsp_blocks,blocks,0,0.0,5,0.0,0.0,../r4-replay/runs/rio-replay-pe5-v32-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v32-c1024-t8-vivado/resource-summary.json,sum_of_synthesized_components
quartus,64,static,logic_alms,ALMs,2077,49892.0,5,249460.0,251537.0,runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,static,logic_aluts,ALUTs,2341,71334.0,5,356670.0,359011.0,runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,static,registers,bits,1401,23595.0,5,117975.0,119376.0,runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,static,block_memory_bits,bits,2793512,0.0,5,0.0,2793512.0,runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,static,mlab_memory_bits,bits,0,0.0,5,0.0,0.0,runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,static,dsp_blocks,blocks,0,0.0,5,0.0,0.0,runs/rio-only-pe5-v64-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,replay,logic_alms,ALMs,4950,49892.0,5,249460.0,254410.0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,replay,logic_aluts,ALUTs,6101,71334.0,5,356670.0,362771.0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,replay,registers,bits,4753,23595.0,5,117975.0,122728.0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,replay,block_memory_bits,bits,4728744,0.0,5,0.0,4728744.0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,replay,mlab_memory_bits,bits,0,0.0,5,0.0,0.0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
quartus,64,replay,dsp_blocks,blocks,0,0.0,5,0.0,0.0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-quartus/resource-summary.json,sum_of_synthesized_components
vivado,64,static,logic_luts,LUTs,3684,101751.0,5,508755.0,512439.0,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,static,registers,bits,2886,23636.0,5,118180.0,121066.0,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,static,bram36_tiles,tiles,120.0,0.0,5,0.0,120.0,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,static,uram288_blocks,blocks,0,0.0,5,0.0,0.0,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,static,bram_uram_allocated_bits,bits,4423680,0.0,5,0.0,4423680.0,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,static,lutram_luts,LUTs,612,0.0,5,0.0,612.0,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,static,dsp_blocks,blocks,0,0.0,5,0.0,0.0,runs/rio-only-pe5-v64-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,logic_luts,LUTs,5739,101751.0,5,508755.0,514494.0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,registers,bits,3918,23636.0,5,118180.0,122098.0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,bram36_tiles,tiles,172.5,0.0,5,0.0,172.5,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,uram288_blocks,blocks,0,0.0,5,0.0,0.0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,bram_uram_allocated_bits,bits,6359040,0.0,5,0.0,6359040.0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,lutram_luts,LUTs,652,0.0,5,0.0,652.0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
vivado,64,replay,dsp_blocks,blocks,0,0.0,5,0.0,0.0,../replay-sweep/runs/rio-replay-pe5-v64-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v64-c1024-t9-vivado/resource-summary.json,sum_of_synthesized_components
quartus,128,static,logic_alms,ALMs,4068,53095.0,5,265475.0,269543.0,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,static,logic_aluts,ALUTs,4424,74764.0,5,373820.0,378244.0,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,static,registers,bits,1499,25646.0,5,128230.0,129729.0,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,static,block_memory_bits,bits,11813092,0.0,5,0.0,11813092.0,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
quartus,128,static,mlab_memory_bits,bits,0,0.0,5,0.0,0.0,runs/rio-only-pe5-v128-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v128-c1024-t10-quartus/resource-summary.json,sum_of_synthesized_components
