event,name,mode,from_policy,to_policy,instruction_count,scheduled_cycle,start_cycle,commit_cycle,finish_cycle,drain_cycle,drain_duration_cycles,dropped_packets,retained_packets,peak_buffer_occupancy_packets,minimum_stop_cycles,stop_duration_cycles,commit_applied_cycle,commit_cycles,bank_cleanup_cycles,install_finish_cycle,resume_cycle,cleanup_start_cycle,cleanup_commit_cycle,cleanup_applied_cycle,cleanup_finish_cycle,cleanup_instruction_count,cleanup_commit_cycles,cleanup_bank_cleanup_cycles,cleanup_of,prefilled_tokens
reconfiguration,request,direct,,,51,2000,2001,2060,4143,4111,2051,0,0,0,0,,2063,62,30,2093,,2093,2114,4135,4143,20,2042,8,,
cleanup_commit,retire,direct,,,20,2000,2093,2114,4143,,,0,0,0,0,,4135,2042,8,4143,,,,,,,,,request,
