run,commit,name,start_cycle,commit_cycle,ready_for_next_commit,old_tree_drained_cycle,drain_label,commit_applied_cycle,instruction_count,commit_cycles,bank_replay_cycles
reset,C1,request,2000,2125,2188,2016,old-tree captured (not drained),2128,106,128,60
reset,C2,retire,3041,3041,3046,2016,old-tree captured (not drained),3045,1,4,1
