part	device	family
xcvu095-ffvd1517-1-i	xcvu095	virtexu
xcvu095-ffvd1517-1H-e	xcvu095	virtexu
xcvu095-ffvd1517-1HV-e	xcvu095	virtexu
xcvu095-ffvd1517-2-e	xcvu095	virtexu
xcvu095-ffvd1517-2-i	xcvu095	virtexu
xcvu095-ffvd1517-3-e	xcvu095	virtexu
xcvu095_CIV-ffva2104-1-i	xcvu095_CIV	virtexu
xcvu095_CIV-ffva2104-1H-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffva2104-1HV-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffva2104-2-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffva2104-2-i	xcvu095_CIV	virtexu
xcvu095_CIV-ffva2104-3-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvb1760-1-i	xcvu095_CIV	virtexu
xcvu095_CIV-ffvb1760-1H-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvb1760-1HV-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvb1760-2-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvb1760-2-i	xcvu095_CIV	virtexu
xcvu095_CIV-ffvb1760-3-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvb2104-1-i	xcvu095_CIV	virtexu
xcvu095_CIV-ffvb2104-1H-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvb2104-1HV-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvb2104-2-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvb2104-2-i	xcvu095_CIV	virtexu
xcvu095_CIV-ffvb2104-3-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvc1517-1-i	xcvu095_CIV	virtexu
xcvu095_CIV-ffvc1517-1H-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvc1517-1HV-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvc1517-2-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvc1517-2-i	xcvu095_CIV	virtexu
xcvu095_CIV-ffvc1517-3-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvc2104-1-i	xcvu095_CIV	virtexu
xcvu095_CIV-ffvc2104-1H-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvc2104-1HV-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvc2104-2-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvc2104-2-i	xcvu095_CIV	virtexu
xcvu095_CIV-ffvc2104-3-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvd1517-1-i	xcvu095_CIV	virtexu
xcvu095_CIV-ffvd1517-1H-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvd1517-1HV-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvd1517-2-e	xcvu095_CIV	virtexu
xcvu095_CIV-ffvd1517-2-i	xcvu095_CIV	virtexu
xcvu095_CIV-ffvd1517-3-e	xcvu095_CIV	virtexu
xcvu125-flva2104-1-i	xcvu125	virtexu
xcvu125-flva2104-1H-e	xcvu125	virtexu
xcvu125-flva2104-1HV-e	xcvu125	virtexu
xcvu125-flva2104-2-e	xcvu125	virtexu
xcvu125-flva2104-2-i	xcvu125	virtexu
xcvu125-flva2104-3-e	xcvu125	virtexu
xcvu125-flvb1760-1-i	xcvu125	virtexu
xcvu125-flvb1760-1H-e	xcvu125	virtexu
xcvu125-flvb1760-1HV-e	xcvu125	virtexu
xcvu125-flvb1760-2-e	xcvu125	virtexu
xcvu125-flvb1760-2-i	xcvu125	virtexu
xcvu125-flvb1760-3-e	xcvu125	virtexu
xcvu125-flvb2104-1-i	xcvu125	virtexu
xcvu125-flvb2104-1H-e	xcvu125	virtexu
xcvu125-flvb2104-1HV-e	xcvu125	virtexu
xcvu125-flvb2104-2-e	xcvu125	virtexu
xcvu125-flvb2104-2-i	xcvu125	virtexu
xcvu125-flvb2104-3-e	xcvu125	virtexu
xcvu125-flvc2104-1-i	xcvu125	virtexu
xcvu125-flvc2104-1H-e	xcvu125	virtexu
xcvu125-flvc2104-1HV-e	xcvu125	virtexu
xcvu125-flvc2104-2-e	xcvu125	virtexu
xcvu125-flvc2104-2-i	xcvu125	virtexu
xcvu125-flvc2104-3-e	xcvu125	virtexu
xcvu125-flvd1517-1-i	xcvu125	virtexu
xcvu125-flvd1517-1H-e	xcvu125	virtexu
xcvu125-flvd1517-1HV-e	xcvu125	virtexu
xcvu125-flvd1517-2-e	xcvu125	virtexu
xcvu125-flvd1517-2-i	xcvu125	virtexu
xcvu125-flvd1517-3-e	xcvu125	virtexu
xcvu125_CIV-flva2104-1-i	xcvu125_CIV	virtexu
xcvu125_CIV-flva2104-1H-e	xcvu125_CIV	virtexu
xcvu125_CIV-flva2104-1HV-e	xcvu125_CIV	virtexu
xcvu125_CIV-flva2104-2-e	xcvu125_CIV	virtexu
xcvu125_CIV-flva2104-2-i	xcvu125_CIV	virtexu
xcvu125_CIV-flva2104-3-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvb1760-1-i	xcvu125_CIV	virtexu
xcvu125_CIV-flvb1760-1H-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvb1760-1HV-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvb1760-2-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvb1760-2-i	xcvu125_CIV	virtexu
xcvu125_CIV-flvb1760-3-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvb2104-1-i	xcvu125_CIV	virtexu
xcvu125_CIV-flvb2104-1H-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvb2104-1HV-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvb2104-2-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvb2104-2-i	xcvu125_CIV	virtexu
xcvu125_CIV-flvb2104-3-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvc2104-1-i	xcvu125_CIV	virtexu
xcvu125_CIV-flvc2104-1H-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvc2104-1HV-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvc2104-2-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvc2104-2-i	xcvu125_CIV	virtexu
xcvu125_CIV-flvc2104-3-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvd1517-1-i	xcvu125_CIV	virtexu
xcvu125_CIV-flvd1517-1H-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvd1517-1HV-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvd1517-2-e	xcvu125_CIV	virtexu
xcvu125_CIV-flvd1517-2-i	xcvu125_CIV	virtexu
xcvu125_CIV-flvd1517-3-e	xcvu125_CIV	virtexu
xcvu160-flgb2104-1-i	xcvu160	virtexu
xcvu160-flgb2104-1H-e	xcvu160	virtexu
xcvu160-flgb2104-1HV-e	xcvu160	virtexu
xcvu160-flgb2104-2-e	xcvu160	virtexu
xcvu160-flgb2104-2-i	xcvu160	virtexu
xcvu160-flgb2104-3-e	xcvu160	virtexu
xcvu160-flgc2104-1-i	xcvu160	virtexu
xcvu160-flgc2104-1H-e	xcvu160	virtexu
xcvu160-flgc2104-1HV-e	xcvu160	virtexu
xcvu160-flgc2104-2-e	xcvu160	virtexu
xcvu160-flgc2104-2-i	xcvu160	virtexu
xcvu160-flgc2104-3-e	xcvu160	virtexu
xcvu160_CIV-flgb2104-1-i	xcvu160_CIV	virtexu
xcvu160_CIV-flgb2104-1H-e	xcvu160_CIV	virtexu
xcvu160_CIV-flgb2104-1HV-e	xcvu160_CIV	virtexu
xcvu160_CIV-flgb2104-2-e	xcvu160_CIV	virtexu
xcvu160_CIV-flgb2104-2-i	xcvu160_CIV	virtexu
xcvu160_CIV-flgb2104-3-e	xcvu160_CIV	virtexu
xcvu160_CIV-flgc2104-1-i	xcvu160_CIV	virtexu
xcvu160_CIV-flgc2104-1H-e	xcvu160_CIV	virtexu
xcvu160_CIV-flgc2104-1HV-e	xcvu160_CIV	virtexu
xcvu160_CIV-flgc2104-2-e	xcvu160_CIV	virtexu
xcvu160_CIV-flgc2104-2-i	xcvu160_CIV	virtexu
xcvu160_CIV-flgc2104-3-e	xcvu160_CIV	virtexu
xcvu190-flga2577-1-i	xcvu190	virtexu
xcvu190-flga2577-1H-e	xcvu190	virtexu
xcvu190-flga2577-1HV-e	xcvu190	virtexu
xcvu190-flga2577-2-e	xcvu190	virtexu
xcvu190-flga2577-2-i	xcvu190	virtexu
xcvu190-flga2577-3-e	xcvu190	virtexu
xcvu190-flgb2104-1-i	xcvu190	virtexu
xcvu190-flgb2104-1H-e	xcvu190	virtexu
xcvu190-flgb2104-1HV-e	xcvu190	virtexu
xcvu190-flgb2104-2-e	xcvu190	virtexu
xcvu190-flgb2104-2-i	xcvu190	virtexu
xcvu190-flgb2104-3-e	xcvu190	virtexu
xcvu190-flgc2104-1-i	xcvu190	virtexu
xcvu190-flgc2104-1H-e	xcvu190	virtexu
xcvu190-flgc2104-1HV-e	xcvu190	virtexu
xcvu190-flgc2104-2-e	xcvu190	virtexu
xcvu190-flgc2104-2-i	xcvu190	virtexu
xcvu190-flgc2104-3-e	xcvu190	virtexu
xcvu190_CIV-flga2577-1-i	xcvu190_CIV	virtexu
xcvu190_CIV-flga2577-1H-e	xcvu190_CIV	virtexu
xcvu190_CIV-flga2577-1HV-e	xcvu190_CIV	virtexu
xcvu190_CIV-flga2577-2-e	xcvu190_CIV	virtexu
xcvu190_CIV-flga2577-2-i	xcvu190_CIV	virtexu
xcvu190_CIV-flga2577-3-e	xcvu190_CIV	virtexu
xcvu190_CIV-flgb2104-1-i	xcvu190_CIV	virtexu
xcvu190_CIV-flgb2104-1H-e	xcvu190_CIV	virtexu
xcvu190_CIV-flgb2104-1HV-e	xcvu190_CIV	virtexu
xcvu190_CIV-flgb2104-2-e	xcvu190_CIV	virtexu
xcvu190_CIV-flgb2104-2-i	xcvu190_CIV	virtexu
xcvu190_CIV-flgb2104-3-e	xcvu190_CIV	virtexu
xcvu190_CIV-flgc2104-1-i	xcvu190_CIV	virtexu
xcvu190_CIV-flgc2104-1H-e	xcvu190_CIV	virtexu
xcvu190_CIV-flgc2104-1HV-e	xcvu190_CIV	virtexu
xcvu190_CIV-flgc2104-2-e	xcvu190_CIV	virtexu
xcvu190_CIV-flgc2104-2-i	xcvu190_CIV	virtexu
xcvu190_CIV-flgc2104-3-e	xcvu190_CIV	virtexu
xcvu440-flga2892-1-c	xcvu440	virtexu
xcvu440-flga2892-1-i	xcvu440	virtexu
xcvu440-flga2892-2-e	xcvu440	virtexu
xcvu440-flga2892-2-i	xcvu440	virtexu
xcvu440-flga2892-3-e	xcvu440	virtexu
xcvu440-flgb2377-1-c	xcvu440	virtexu
xcvu440-flgb2377-1-i	xcvu440	virtexu
xcvu440-flgb2377-2-e	xcvu440	virtexu
xcvu440-flgb2377-2-i	xcvu440	virtexu
xcvu440-flgb2377-3-e	xcvu440	virtexu
xcvu440_CIV-flga2892-1-c	xcvu440_CIV	virtexu
xcvu440_CIV-flga2892-1-i	xcvu440_CIV	virtexu
xcvu440_CIV-flga2892-2-e	xcvu440_CIV	virtexu
xcvu440_CIV-flga2892-2-i	xcvu440_CIV	virtexu
xcvu440_CIV-flga2892-3-e	xcvu440_CIV	virtexu
xcvu440_CIV-flgb2377-1-c	xcvu440_CIV	virtexu
xcvu440_CIV-flgb2377-1-i	xcvu440_CIV	virtexu
xcvu440_CIV-flgb2377-2-e	xcvu440_CIV	virtexu
xcvu440_CIV-flgb2377-2-i	xcvu440_CIV	virtexu
xcvu440_CIV-flgb2377-3-e	xcvu440_CIV	virtexu
xcu200-fsgd2104-2-e	xcu200	virtexuplus
xcu250-figd2104-2-e	xcu250	virtexuplus
xcu250-figd2104-2L-e	xcu250	virtexuplus
xcu250-figd2104-2LV-e	xcu250	virtexuplus
xcvu11p-flga2577-1-e	xcvu11p	virtexuplus
xcvu11p-flga2577-1-i	xcvu11p	virtexuplus
xcvu11p-flga2577-2-e	xcvu11p	virtexuplus
xcvu11p-flga2577-2-i	xcvu11p	virtexuplus
xcvu11p-flga2577-2L-e	xcvu11p	virtexuplus
xcvu11p-flga2577-2LV-e	xcvu11p	virtexuplus
xcvu11p-flga2577-3-e	xcvu11p	virtexuplus
xcvu11p-flgb2104-1-e	xcvu11p	virtexuplus
xcvu11p-flgb2104-1-i	xcvu11p	virtexuplus
xcvu11p-flgb2104-2-e	xcvu11p	virtexuplus
xcvu11p-flgb2104-2-i	xcvu11p	virtexuplus
xcvu11p-flgb2104-2L-e	xcvu11p	virtexuplus
xcvu11p-flgb2104-2LV-e	xcvu11p	virtexuplus
xcvu11p-flgb2104-3-e	xcvu11p	virtexuplus
xcvu11p-flgc2104-1-e	xcvu11p	virtexuplus
xcvu11p-flgc2104-1-i	xcvu11p	virtexuplus
xcvu11p-flgc2104-2-e	xcvu11p	virtexuplus
xcvu11p-flgc2104-2-i	xcvu11p	virtexuplus
xcvu11p-flgc2104-2L-e	xcvu11p	virtexuplus
xcvu11p-flgc2104-2LV-e	xcvu11p	virtexuplus
xcvu11p-flgc2104-3-e	xcvu11p	virtexuplus
xcvu11p-flgf1924-1-e	xcvu11p	virtexuplus
xcvu11p-flgf1924-1-i	xcvu11p	virtexuplus
xcvu11p-flgf1924-2-e	xcvu11p	virtexuplus
xcvu11p-flgf1924-2-i	xcvu11p	virtexuplus
xcvu11p-flgf1924-2L-e	xcvu11p	virtexuplus
xcvu11p-flgf1924-2LV-e	xcvu11p	virtexuplus
xcvu11p-flgf1924-3-e	xcvu11p	virtexuplus
xcvu11p-fsgd2104-1-e	xcvu11p	virtexuplus
